Country,2013 Total government expenditure on recreational and sporting services (€ millions),2014 Total government expenditure on recreational and sporting services (€ millions),2015 Total government expenditure on recreational and sporting services (€ millions),2016 Total government expenditure on recreational and sporting services (€ millions),2013 Population (thousands),2014 Population (thousands),2015 Population (thousands),2016 Population (thousands),2013 Amount spent on sports and recreation (€ per person),2014 Amount spent on sports and recreation (€ per person),2015 Amount spent on sports and recreation (€ per person),2016 Amount spent on sports and recreation (€ per person),2013 - 2016 Average amount spent on sports and recreation (€ per person),Total Medals,Medal Points
Belgium,"1,635.90","1,479.00","1,551.30","1,656.00","11,159.40","11,209.10","11,274.20","11,331.40",146.59,131.95,137.6,146.14,140.57,6,12
Bulgaria,55.2,249.7,181.2,84.4,"7,265.12","7,223.94","7,177.99","7,127.82",7.6,34.57,25.24,11.84,19.81,3,4
Czech Republic,592.1,632.8,646.5,660.7,"10,510.72","10,524.78","10,542.94","10,565.28",56.33,60.12,61.32,62.54,60.08,10,14
Denmark,"1,029.40","1,017.30","1,083.40","1,099.00","5,613.00","5,643.00","5,682.00","5,729.00",183.4,180.28,190.67,191.83,186.54,15,25
Germany,"7,217.00","7,421.00","7,594.00","7,370.00","80,646.00","80,983.00","81,687.00","82,349.00",89.49,91.64,92.96,89.5,90.9,42,86
Estonia,86.9,85.2,80.8,94.6,"1,320.20","1,315.80","1,313.30","1,315.90",65.82,64.75,61.52,71.89,66,1,1
Ireland,275.7,257.3,267.5,305.3,"4,620.04","4,652.46","4,695.77","4,748.99",59.67,55.3,56.97,64.29,59.06,2,4
Greece,412,587,618,633,"10,965.24","10,892.37","10,820.96","10,775.99",37.57,53.89,57.11,58.74,51.83,6,13
Spain,"3,767.00","3,806.00","4,207.00","4,205.00","46,593.24","46,455.12","46,410.15","46,449.87",80.85,81.93,90.65,90.53,85.99,17,35
France,"12,747.00","12,418.00","12,012.00","12,119.00","65,991.00","66,312.00","66,581.00","66,831.00",193.16,187.27,180.41,181.34,185.54,42,80
Croatia,209.3,216.4,210.5,184,"4,254.47","4,236.06","4,207.99","4,172.44",49.2,51.09,50.02,44.1,48.6,10,23
Italy,"4,189.70","4,306.00","4,315.00","4,516.00","60,311.60","60,320.70","60,229.60","60,115.20",69.47,71.39,71.64,75.12,71.9,28,56
Cyprus,58.1,53.8,58,52.8,861.94,852.5,847.66,851.56,67.41,63.11,68.42,62,65.24,0,0
Latvia,39.5,62.3,64.1,63.9,"2,012.81","1,994.25","1,977.31","1,959.34",19.62,31.24,32.42,32.61,28.97,0,0
Lithuania,48.7,57.9,53.9,70.9,"2,957.69","2,932.37","2,904.91","2,868.23",16.47,19.75,18.55,24.72,19.87,4,5
Luxembourg,240.2,240.6,241.1,261.1,545.33,558.33,569.4,584.13,440.47,430.93,423.43,446.99,435.45,0,0
Hungary,380.3,490.9,578.1,"1,278.90","9,893.08","9,866.47","9,843.03","9,814.02",38.44,49.75,58.73,130.31,69.31,15,34
Malta,10.8,7.9,12.5,9.6,426.07,434.88,445.35,455.67,25.35,18.17,28.07,21.07,23.16,0,0
Netherlands,"3,589.00","3,422.00","3,405.00","3,349.00","16,804.00","16,865.00","16,940.00","17,030.00",213.58,202.91,201,196.65,203.54,19,42
Austria,888.1,937.9,"1,002.00",990.1,"8,477.23","8,543.93","8,629.52","8,739.81",104.76,109.77,116.11,113.29,110.98,1,1
Poland,"1,594.20","1,770.80","1,658.00","1,448.80","38,502.00","38,484.00","38,455.00","38,427.00",41.41,46.01,43.12,37.7,42.06,11,18
Portugal,624.2,507.6,576.2,492.2,"10,457.30","10,401.10","10,358.10","10,325.50",59.69,48.8,55.63,47.67,52.95,1,1
Romania,358.2,470.1,468,434,"19,988.69","19,916.45","19,822.25","19,706.42",17.92,23.6,23.61,22.02,21.79,5,8
Slovenia,120.9,117.8,131,110.2,"2,059.55","2,061.80","2,063.30","2,064.63",58.7,57.13,63.49,53.38,58.18,4,8
Slovakia,91.2,103.8,133,122.6,"5,413.00","5,418.56","5,422.34","5,430.80",16.85,19.16,24.53,22.57,20.78,4,10
Finland,970,936,"1,016.00","1,053.00","5,439.00","5,462.50","5,480.50","5,495.30",178.34,171.35,185.38,191.62,181.67,1,1
Sweden,"2,341.40","2,471.80","2,422.60","2,562.80","9,600.40","9,696.10","9,799.20","9,923.10",243.89,254.93,247.22,258.27,251.08,11,21
Iceland,134.1,138.8,177.9,203.2,323.8,327.4,330.8,335.4,414.14,423.95,537.79,605.84,495.43,0,0
Norway,"1,191.30","1,251.30","1,172.90","1,401.80","5,080.00","5,137.00","5,190.00","5,236.00",234.51,243.59,225.99,267.72,242.95,4,4
Switzerland,"1,748.50","1,805.90","2,096.30","2,096.00","8,089.35","8,188.65","8,282.40","8,373.34",216.15,220.54,253.1,250.32,235.03,7,15
United Kingdom,"5,159.80","5,039.00","5,158.20","4,273.40","64,106.00","64,597.00","65,110.00","65,648.00",80.49,78.01,79.22,65.1,75.7,67,144
