Continent,Country,2016 GDP,Gold,Silver,Bronze,Total,Medal Points,2016 GDP (Billions),2016 GDP (log),2016 GDP (log billions)
North America,Aruba,"$4,017,882,135",0,0,0,0,0,4.02,9.60,0.60
Asia,Afghanistan,"$72,785,293,848",0,0,0,0,0,72.79,10.86,1.86
Africa,Angola,"$218,000,000,000",0,0,0,0,0,218.00,11.34,2.34
Europe,Albania,"$35,352,647,954",0,0,0,0,0,35.35,10.55,1.55
Asia,United Arab Emirates,"$623,000,000,000",0,0,1,1,1,623.00,11.79,2.79
South America,Argentina,"$1,010,000,000,000",3,1,0,4,11,1010.00,12.00,3.00
Asia,Armenia,"$33,187,468,758",1,3,0,4,9,33.19,10.52,1.52
North America,Antigua and Barbuda,"$1,835,543,678",0,0,0,0,0,1.84,9.26,0.26
Oceania,Australia,"$1,160,000,000,000",8,11,10,29,56,1160.00,12.06,3.06
Europe,Austria,"$466,000,000,000",0,0,1,1,1,466.00,11.67,2.67
Asia,Azerbaijan,"$139,000,000,000",1,7,10,18,27,139.00,11.14,2.14
Africa,Burundi,"$8,333,811,187",0,1,0,1,2,8.33,9.92,0.92
Europe,Belgium,"$565,000,000,000",2,2,2,6,12,565.00,11.75,2.75
Africa,Benin,"$32,196,993,426",0,0,0,0,0,32.20,10.51,1.51
Africa,Burkina Faso,"$36,946,433,804",0,0,0,0,0,36.95,10.57,1.57
Asia,Bangladesh,"$619,000,000,000",0,0,0,0,0,619.00,11.79,2.79
Europe,Bulgaria,"$148,000,000,000",0,1,2,3,4,148.00,11.17,2.17
Asia,Bahrain,"$68,349,250,017",1,1,0,2,5,68.35,10.83,1.83
North America,Bahamas,"$13,492,316,077",1,0,1,2,4,13.49,10.13,1.13
Europe,Bosnia and Herzegovina,"$44,679,454,488",0,0,0,0,0,44.68,10.65,1.65
Europe,Belarus,"$169,000,000,000",1,4,4,9,15,169.00,11.23,2.23
North America,Belize,"$2,655,034,057",0,0,0,0,0,2.66,9.42,0.42
North America,Bermuda,"$5,044,853,304",0,0,0,0,0,5.04,9.70,0.70
South America,Bolivia,"$90,489,007,926",0,0,0,0,0,90.49,10.96,1.96
South America,Brazil,"$2,980,000,000,000",7,6,6,19,39,2980.00,12.47,3.47
North America,Barbados,"$4,497,911,405",0,0,0,0,0,4.50,9.65,0.65
Asia,Brunei Darussalam,"$25,551,541,320",0,0,0,0,0,25.55,10.41,1.41
Asia,Bhutan,"$7,938,147,353",0,0,0,0,0,7.94,9.90,0.90
Africa,Botswana,"$33,812,938,657",0,0,0,0,0,33.81,10.53,1.53
Africa,Central African Republic,"$4,013,558,817",0,0,0,0,0,4.01,9.60,0.60
North America,Canada,"$1,710,000,000,000",4,3,15,22,33,1710.00,12.23,3.23
Europe,Switzerland,"$575,000,000,000",3,2,2,7,15,575.00,11.76,2.76
South America,Chile,"$447,000,000,000",0,0,0,0,0,447.00,11.65,2.65
Asia,China,"$18,600,000,000,000",26,18,26,70,140,18600.00,13.27,4.27
Africa,Côte d'Ivoire,"$110,000,000,000",1,0,1,2,4,110.00,11.04,2.04
Africa,Cameroon,"$86,958,198,354",0,0,0,0,0,86.96,10.94,1.94
Africa,"Congo, Dem. Rep.","$83,167,671,599",0,0,0,0,0,83.17,10.92,1.92
Africa,"Congo, Rep.","$22,634,023,588",0,0,0,0,0,22.63,10.35,1.35
South America,Colombia,"$684,000,000,000",3,2,3,8,16,684.00,11.84,2.84
Africa,Comoros,"$2,377,220,187",0,0,0,0,0,2.38,9.38,0.38
Africa,Cape Verde,"$3,443,232,724",0,0,0,0,0,3.44,9.54,0.54
North America,Costa Rica,"$96,696,554,845",0,0,0,0,0,96.70,10.99,1.99
North America,Cayman Islands,"$4,284,664,749",0,0,0,0,0,4.28,9.63,0.63
Asia,Cyprus,"$31,089,718,667",0,0,0,0,0,31.09,10.49,1.49
Europe,Czech Republic,"$391,000,000,000",1,2,7,10,14,391.00,11.59,2.59
Europe,Germany,"$4,270,000,000,000",17,10,15,42,86,4270.00,12.63,3.63
Africa,Djibouti,"$4,375,698,707",0,0,0,0,0,4.38,9.64,0.64
North America,Dominica,"$866,718,861",0,0,0,0,0,0.87,8.94,-0.06
Europe,Denmark,"$310,000,000,000",2,6,7,15,25,310.00,11.49,2.49
North America,Dominican Republic,"$168,000,000,000",0,0,1,1,1,168.00,11.23,2.23
