,Countries,2016 GDP (Billions),Bronze,Silver,Gold,Total,Medal Points,Golds/GDP,Total/GDP,Medal Points/GDP
5,United Arab Emirates,623.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0016051364365971107,0.0016051364365971107
6,Argentina,1010.0,0.0,1.0,3.0,4.0,11.0,0.0029702970297029703,0.0039603960396039604,0.01089108910891089
7,Armenia,33.187468758,0.0,3.0,1.0,4.0,9.0,0.03013185510747773,0.12052742042991092,0.2711866959672996
10,Australia,1160.0,10.0,11.0,8.0,29.0,56.0,0.006896551724137931,0.025,0.04827586206896552
11,Austria,466.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002145922746781116,0.002145922746781116
12,Azerbaijan,139.0,10.0,7.0,1.0,18.0,27.0,0.007194244604316547,0.12949640287769784,0.19424460431654678
13,Burundi,8.333811187,0.0,1.0,0.0,1.0,2.0,0.0,0.11999311930175602,0.23998623860351204
14,Belgium,565.0,2.0,2.0,2.0,6.0,12.0,0.0035398230088495575,0.010619469026548672,0.021238938053097345
18,Bulgaria,148.0,2.0,1.0,0.0,3.0,4.0,0.0,0.02027027027027027,0.02702702702702703
19,Bahrain,68.349250017,0.0,1.0,1.0,2.0,5.0,0.014630738446307419,0.029261476892614838,0.0731536922315371
20,Bahamas,13.492316077,1.0,0.0,1.0,2.0,4.0,0.0741162595282417,0.1482325190564834,0.2964650381129668
22,Belarus,169.0,4.0,4.0,1.0,9.0,15.0,0.005917159763313609,0.05325443786982249,0.08875739644970414
26,Brazil,2980.0,6.0,6.0,7.0,19.0,39.0,0.002348993288590604,0.0063758389261744965,0.013087248322147652
32,Canada,1710.0,15.0,3.0,4.0,22.0,33.0,0.0023391812865497076,0.012865497076023392,0.01929824561403509
33,Switzerland,575.0,2.0,2.0,3.0,7.0,15.0,0.0052173913043478265,0.01217391304347826,0.02608695652173913
35,China,18600.0,26.0,18.0,26.0,70.0,140.0,0.0013978494623655914,0.003763440860215054,0.007526881720430108
36,Côte d'Ivoire,110.0,1.0,0.0,1.0,2.0,4.0,0.00909090909090909,0.01818181818181818,0.03636363636363636
40,Colombia,684.0,3.0,2.0,3.0,8.0,16.0,0.0043859649122807015,0.011695906432748537,0.023391812865497075
47,Czech Republic,391.0,7.0,2.0,1.0,10.0,14.0,0.0025575447570332483,0.02557544757033248,0.03580562659846547
48,Germany,4270.0,15.0,10.0,17.0,42.0,86.0,0.003981264637002342,0.009836065573770493,0.020140515222482436
51,Denmark,310.0,7.0,6.0,2.0,15.0,25.0,0.0064516129032258064,0.04838709677419355,0.08064516129032258
52,Dominican Republic,168.0,1.0,0.0,0.0,1.0,1.0,0.0,0.005952380952380952,0.005952380952380952
53,Algeria,480.0,0.0,2.0,0.0,2.0,4.0,0.0,0.004166666666666667,0.008333333333333333
55,Egypt,1020.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0029411764705882353,0.0029411764705882353
57,Spain,1790.0,6.0,4.0,7.0,17.0,35.0,0.003910614525139665,0.009497206703910615,0.019553072625698324
58,Estonia,42.117035737,1.0,0.0,0.0,1.0,1.0,0.0,0.02374336138574671,0.02374336138574671
59,Ethiopia,196.0,5.0,2.0,1.0,8.0,12.0,0.00510204081632653,0.04081632653061224,0.061224489795918366
60,Finland,254.0,1.0,0.0,0.0,1.0,1.0,0.0,0.003937007874015748,0.003937007874015748
61,Fiji,11.184905324,0.0,0.0,1.0,1.0,3.0,0.08940621051608286,0.08940621051608286,0.2682186315482486
62,France,2920.0,14.0,18.0,10.0,42.0,80.0,0.003424657534246575,0.014383561643835616,0.0273972602739726
65,Great Britain,3000.0,17.0,23.0,27.0,67.0,144.0,0.009,0.022333333333333334,0.048
66,Georgia,48.322420425,4.0,1.0,2.0,7.0,12.0,0.04138865525381017,0.1448602933883356,0.248331931522861
72,Greece,304.0,2.0,1.0,3.0,6.0,13.0,0.009868421052631578,0.019736842105263157,0.04276315789473684
73,Grenada,1.721679317,0.0,1.0,0.0,1.0,2.0,0.0,0.5808282588551303,1.1616565177102607
79,Croatia,108.0,2.0,3.0,5.0,10.0,23.0,0.046296296296296294,0.09259259259259259,0.21296296296296297
81,Hungary,277.0,4.0,3.0,8.0,15.0,34.0,0.02888086642599278,0.05415162454873646,0.12274368231046931
82,Indonesia,2750.0,0.0,2.0,1.0,3.0,7.0,0.0003636363636363636,0.001090909090909091,0.0025454545454545456
83,India,7750.0,1.0,1.0,0.0,2.0,3.0,0.0,0.00025806451612903227,0.0003870967741935484
84,Ireland,343.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0058309037900874635,0.011661807580174927
85,Iran,1130.0,4.0,1.0,3.0,8.0,15.0,0.002654867256637168,0.007079646017699115,0.01327433628318584
88,Israel,327.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0061162079510703364,0.0061162079510703364
89,Italy,2480.0,8.0,12.0,8.0,28.0,56.0,0.0032258064516129032,0.01129032258064516,0.02258064516129032
90,Jamaica,27.763609394,2.0,3.0,6.0,11.0,26.0,0.2161102295761538,0.39620208755628195,0.9364776614966664
91,Jordan,95.892008153,0.0,0.0,1.0,1.0,3.0,0.010428397728457777,0.010428397728457777,0.03128519318537334
92,Japan,5180.0,21.0,8.0,12.0,41.0,73.0,0.0023166023166023165,0.007915057915057915,0.014092664092664093
93,Kazakhstan,431.0,9.0,5.0,3.0,17.0,28.0,0.0069605568445475635,0.03944315545243619,0.06496519721577726
94,Kenya,203.0,1.0,6.0,6.0,13.0,31.0,0.029556650246305417,0.06403940886699508,0.15270935960591134
99,Republic of Korea,2040.0,9.0,3.0,9.0,21.0,42.0,0.004411764705882353,0.010294117647058823,0.020588235294117647
