economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP per medal,People per medal,Year,Continent
ZWE,Zimbabwe,12379553,26985601092,12.38,26.99,1,3,0,4,6.75,3094888,2008,Africa
ZAF,South Africa,49779472,6.88E+11,49.78,687.51,0,1,0,1,687.51,49779472,2008,Africa
WSM,Samoa,183270,1168527690,0.18,1.17,0,1,0,1,1.17,183270,2008,Oceania
VNM,Vietnam,86243424,3.99E+11,86.24,399.14,0,1,0,1,399.14,86243424,2008,Asia
UZB,Uzbekistan,27302800,1.22E+11,27.3,121.71,0,1,3,4,30.43,6825700,2008,Asia
USA,United States,304093966,1.68E+13,304.09,16807.78,36,39,37,112,150.07,2715125,2008,North America
UKR,Ukraine,46258189,6.35E+11,46.26,634.63,7,4,11,22,28.85,2102645,2008,Europe
TUR,Turkey,70418612,1.40E+12,70.42,1403.66,1,1,3,5,280.73,14083722,2008,Europe
TUN,Tunisia,10414425,1.08E+11,10.41,107.58,1,0,0,1,107.58,10414425,2008,Africa
TTO,Trinidad and Tobago,1314449,38827392115,1.31,38.83,1,1,0,2,19.42,657225,2008,North America
TJK,Tajikistan,7209924,16258541934,7.21,16.26,0,1,1,2,8.13,3604962,2008,Asia
THA,Thailand,66530980,9.06E+11,66.53,906.19,2,2,2,6,151.03,11088497,2008,Asia
TGO,Togo,6083417,9322374067,6.08,9.32,0,0,1,1,9.32,6083417,2008,Africa
SWE,Sweden,9219637,4.42E+11,9.22,442.21,0,4,1,5,88.44,1843927,2008,Europe
SVN,Slovenia,2021316,72919918592,2.02,72.92,1,2,2,5,14.58,404263,2008,Europe
SVK,Slovak Republic,5379233,1.37E+11,5.38,136.96,3,3,0,6,22.83,896539,2008,Europe
SRB,Serbia,7350222,1.08E+11,7.35,107.99,0,1,2,3,36.00,2450074,2008,Europe
SGP,Singapore,4839396,3.47E+11,4.84,346.65,0,1,0,1,346.65,4839396,2008,Asia
SDN,Sudan,33060844,2.04E+11,33.06,204.2,0,1,0,1,204.20,33060844,2008,Africa
RUS,Russian Federation,142742366,3.55E+12,142.74,3552.55,24,13,23,60,59.21,2379039,2008,Europe
ROU,Romania,20537875,4.53E+11,20.54,452.74,4,1,4,9,50.30,2281986,2008,Europe
PRT,Portugal,10558177,3.41E+11,10.56,341.11,1,1,0,2,170.56,5279089,2008,Europe
POL,Poland,38125759,8.56E+11,38.13,855.73,4,5,2,11,77.79,3465978,2008,Europe
PAN,Panama,3516204,72563640360,3.52,72.56,1,0,0,1,72.56,3516204,2008,North America
NZL,New Zealand,4259800,1.62E+11,4.26,161.59,3,2,4,9,17.95,473311,2008,Oceania
NOR,Norway,4768212,3.03E+11,4.77,303.12,3,5,1,9,33.68,529801,2008,Europe
NLD,Netherlands,16445593,8.86E+11,16.45,885.57,7,5,4,16,55.35,1027850,2008,Europe
NGA,Nigeria,150269622,6.70E+11,150.27,670,0,3,2,5,134.00,30053924,2008,Africa
MYS,Malaysia,27236003,5.48E+11,27.24,547.54,0,1,0,1,547.54,27236003,2008,Asia
MUS,Mauritius,1244121,19477466103,1.24,19.48,0,0,1,1,19.48,1244121,2008,Africa
MNG,Mongolia,2631899,19349268104,2.63,19.35,2,2,0,4,4.84,657975,2008,Asia
MEX,Mexico,110815272,2.04E+12,110.82,2038.65,2,0,2,4,509.66,27703818,2008,North America
MDA,Moldova,2867964,24302403985,2.87,24.3,0,0,1,1,24.30,2867964,2008,Europe
MAR,Morocco,31536807,1.91E+11,31.54,190.51,0,1,1,2,95.26,15768404,2008,Africa
LVA,Latvia,2177322,54223144196,2.18,54.22,1,1,1,3,18.07,725774,2008,Europe
LTU,Lithuania,3198231,85664233657,3.2,85.66,0,3,2,5,17.13,639646,2008,Europe
KOR,"Korea, Rep.",49054708,1.58E+12,49.05,1583.25,13,11,8,32,49.48,1532960,2008,Asia
KGZ,Kyrgyz Republic,5318700,22031180061,5.32,22.03,0,1,2,3,7.34,1772900,2008,Asia
KEN,Kenya,39791984,1.39E+11,39.79,138.97,6,4,6,16,8.69,2486999,2008,Africa
KAZ,Kazakhstan,15776938,3.12E+11,15.78,311.91,2,3,4,9,34.66,1752993,2008,Asia
JPN,Japan,128063000,4.97E+12,128.06,4966.44,9,8,8,25,198.66,5122520,2008,Asia
JAM,Jamaica,2781869,28133483825,2.78,28.13,5,4,2,11,2.56,252897,2008,North America
ITA,Italy,58826731,2.63E+12,58.83,2625.06,8,9,10,27,97.22,2178768,2008,Europe
ISR,Israel,7308800,2.42E+11,7.31,241.52,0,0,1,1,241.52,7308800,2008,Asia
ISL,Iceland,317414,16822763466,0.32,16.82,0,1,0,1,16.82,317414,2008,Europe
IRN,"Iran, Islamic Rep.",72120608,9.53E+11,72.12,952.94,1,0,1,2,476.47,36060304,2008,Asia
IRL,Ireland,4489544,2.50E+11,4.49,250.12,0,1,2,3,83.37,1496515,2008,Europe
IND,India,1200669762,4.47E+12,1200.67,4466.6,1,0,2,3,1488.87,400223254,2008,Asia
IDN,Indonesia,235469755,1.80E+12,235.47,1803.13,1,1,4,6,300.52,39244959,2008,Asia
HUN,Hungary,10038188,2.59E+11,10.04,259.34,3,5,2,10,25.93,1003819,2008,Europe
HRV,Croatia,4309705,1.15E+11,4.31,114.94,0,2,3,5,22.99,861941,2008,Europe
GRC,Greece,11077841,4.14E+11,11.08,414.25,0,2,1,3,138.08,3692614,2008,Europe
GEO,Georgia,3848449,36016150959,3.85,36.02,3,2,2,7,5.15,549778,2008,Asia
GBR,United Kingdom,61806995,2.71E+12,61.81,2705.15,19,13,19,51,53.04,1211902,2008,Europe
FRA,France,64374979,2.77E+12,64.37,2767.88,7,16,20,43,64.37,1497093,2008,Europe
FIN,Finland,5313399,2.59E+11,5.31,259.39,1,1,2,4,64.85,1328350,2008,Europe
