economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
ZWE,Zimbabwe,12379553,26985601092,12.38,26.99,1,3,0,4,6.75,2008,Africa
ZMB,Zambia,12848531,35300548790,12.85,35.3,0,0,0,0,,2008,Africa
ZAF,South Africa,49779472,6.88E+11,49.78,687.51,0,1,0,1,687.51,2008,Africa
XKX,Kosovo,1747383,12288387592,1.75,12.29,0,0,0,0,,2008,Europe
WSM,Samoa,183270,1168527690,0.18,1.17,0,1,0,1,1.17,2008,Oceania
VUT,Vanuatu,224700,699341273.8,0.22,0.7,0,0,0,0,,2008,Oceania
VNM,Vietnam,86243424,3.99E+11,86.24,399.14,0,1,0,1,399.14,2008,Asia
VCT,St. Vincent and the Grenadines,108401,1309782867,0.11,1.31,0,0,0,0,,2008,North America
UZB,Uzbekistan,27302800,1.22E+11,27.3,121.71,0,1,3,4,30.43,2008,Asia
USA,United States,304093966,1.68E+13,304.09,16807.78,36,39,37,112,150.07,2008,North America
URY,Uruguay,3340221,57674027693,3.34,57.67,0,0,0,0,,2008,South America
UKR,Ukraine,46258189,6.35E+11,46.26,634.63,7,4,11,22,28.85,2008,Europe
UGA,Uganda,30431734,53849696408,30.43,53.85,0,0,0,0,,2008,Africa
TZA,Tanzania,41853944,77210508277,41.85,77.21,0,0,0,0,,2008,Africa
TUV,Tuvalu,10315,37139804.97,0.01,0.04,0,0,0,0,,2008,Oceania
TUR,Turkey,70418612,1.40E+12,70.42,1403.66,1,1,3,5,280.73,2008,Europe
TUN,Tunisia,10414425,1.08E+11,10.41,107.58,1,0,0,1,107.58,2008,Africa
TTO,Trinidad and Tobago,1314449,38827392115,1.31,38.83,1,1,0,2,19.42,2008,North America
TON,Tonga,103384,562210240.9,0.1,0.56,0,0,0,0,,2008,Oceania
TLS,Timor-Leste,1055428,2661988619,1.06,2.66,0,0,0,0,,2008,Asia
TKM,Turkmenistan,4935765,37834870667,4.94,37.83,0,0,0,0,,2008,Asia
TJK,Tajikistan,7209924,16258541934,7.21,16.26,0,1,1,2,8.13,2008,Asia
THA,Thailand,66530980,9.06E+11,66.53,906.19,2,2,2,6,151.03,2008,Asia
TGO,Togo,6083417,9322374067,6.08,9.32,0,0,1,1,9.32,2008,Africa
TCD,Chad,11183589,17499987132,11.18,17.5,0,0,0,0,,2008,Africa
SYC,Seychelles,86956,1795739998,0.09,1.8,0,0,0,0,,2008,Africa
SWZ,Eswatini,1049948,7534651047,1.05,7.53,0,0,0,0,,2008,Africa
SWE,Sweden,9219637,4.42E+11,9.22,442.21,0,4,1,5,88.44,2008,Europe
SVN,Slovenia,2021316,72919918592,2.02,72.92,1,2,2,5,14.58,2008,Europe
SVK,Slovak Republic,5379233,1.37E+11,5.38,136.96,3,3,0,6,22.83,2008,Europe
SUR,Suriname,517122,9201666793,0.52,9.2,0,0,0,0,,2008,South America
STP,Sao Tome and Principe,171122,554267616.5,0.17,0.55,0,0,0,0,,2008,Africa
SRB,Serbia,7350222,1.08E+11,7.35,107.99,0,1,2,3,36.00,2008,Europe
SMR,San Marino,30434,2653172228,0.03,2.65,0,0,0,0,,2008,Europe
SLV,El Salvador,6131767,45331519500,6.13,45.33,0,0,0,0,,2008,North America
SLE,Sierra Leone,6133599,8299077544,6.13,8.3,0,0,0,0,,2008,Africa
SLB,Solomon Islands,503366,1156177507,0.5,1.16,0,0,0,0,,2008,Oceania
SGP,Singapore,4839396,3.47E+11,4.84,346.65,0,1,0,1,346.65,2008,Asia
SEN,Senegal,12004700,33380452577,12,33.38,0,0,0,0,,2008,Africa
SDN,Sudan,33060844,2.04E+11,33.06,204.2,0,1,0,1,204.20,2008,Africa
SAU,Saudi Arabia,25888535,1.17E+12,25.89,1173.79,0,0,0,0,,2008,Asia
RWA,Rwanda,9524532,13267957874,9.52,13.27,0,0,0,0,,2008,Africa
RUS,Russian Federation,142742366,3.55E+12,142.74,3552.55,24,13,23,60,59.21,2008,Europe
ROU,Romania,20537875,4.53E+11,20.54,452.74,4,1,4,9,50.30,2008,Europe
QAT,Qatar,1436670,1.33E+11,1.44,132.97,0,0,0,0,,2008,Asia
PSE,West Bank and Gaza,3591977,17835505431,3.59,17.84,0,0,0,0,,2008,Asia
PRY,Paraguay,6081296,58731219633,6.08,58.73,0,0,0,0,,2008,South America
PRT,Portugal,10558177,3.41E+11,10.56,341.11,1,1,0,2,170.56,2008,Europe
PRI,Puerto Rico,3760866,1.26E+11,3.76,125.63,0,0,0,0,,2008,North America
POL,Poland,38125759,8.56E+11,38.13,855.73,4,5,2,11,77.79,2008,Europe
PNG,Papua New Guinea,6976200,21173957712,6.98,21.17,0,0,0,0,,2008,Oceania
PLW,Palau,18708,292054918.8,0.02,0.29,0,0,0,0,,2008,Oceania
PHL,Philippines,90901967,5.11E+11,90.9,510.73,0,0,0,0,,2008,Asia
PER,Peru,28562321,2.67E+11,28.56,266.81,0,0,0,0,,2008,South America
PAN,Panama,3516204,72563640360,3.52,72.56,1,0,0,1,72.56,2008,North America
PAK,Pakistan,171648984,6.71E+11,171.65,670.91,0,0,0,0,,2008,Asia
OMN,Oman,2750956,95737860148,2.75,95.74,0,0,0,0,,2008,Asia
NZL,New Zealand,4259800,1.62E+11,4.26,161.59,3,2,4,9,17.95,2008,Oceania
NRU,Nauru,9880,55231023.57,0.01,0.06,0,0,0,0,,2008,Oceania
NPL,Nepal,26666581,66650868166,26.67,66.65,0,0,0,0,,2008,Asia
NOR,Norway,4768212,3.03E+11,4.77,303.12,3,5,1,9,33.68,2008,Europe
NLD,Netherlands,16445593,8.86E+11,16.45,885.57,7,5,4,16,55.35,2008,Europe
NIC,Nicaragua,5667436,26600629726,5.67,26.6,0,0,0,0,,2008,North America
NGA,Nigeria,150269622,6.70E+11,150.27,670,0,3,2,5,134.00,2008,Africa
NER,Niger,15250913,15409187206,15.25,15.41,0,0,0,0,,2008,Africa
NAM,Namibia,2043382,17992817701,2.04,17.99,0,0,0,0,,2008,Africa
MYS,Malaysia,27236003,5.48E+11,27.24,547.54,0,1,0,1,547.54,2008,Asia
MWI,Malawi,13727899,17262611523,13.73,17.26,0,0,0,0,,2008,Africa
MUS,Mauritius,1244121,19477466103,1.24,19.48,0,0,1,1,19.48,2008,Africa
MRT,Mauritania,3296237,15891303909,3.3,15.89,0,0,0,0,,2008,Africa
MOZ,Mozambique,22276596,21347292692,22.28,21.35,0,0,0,0,,2008,Africa
MNG,Mongolia,2631899,19349268104,2.63,19.35,2,2,0,4,4.84,2008,Asia
