areaCode,areaName,areaType,date,newCasesBySpecimenDate
W06000015,Cardiff,ltla,01/10/2021,2
W06000015,Cardiff,ltla,30/09/2021,159
W06000015,Cardiff,ltla,29/09/2021,347
W06000015,Cardiff,ltla,28/09/2021,319
W06000015,Cardiff,ltla,27/09/2021,304
W06000015,Cardiff,ltla,26/09/2021,244
W06000015,Cardiff,ltla,25/09/2021,212
W06000015,Cardiff,ltla,24/09/2021,272
W06000015,Cardiff,ltla,23/09/2021,353
W06000015,Cardiff,ltla,22/09/2021,333
W06000015,Cardiff,ltla,21/09/2021,334
W06000015,Cardiff,ltla,20/09/2021,336
W06000015,Cardiff,ltla,19/09/2021,283
W06000015,Cardiff,ltla,18/09/2021,176
W06000015,Cardiff,ltla,17/09/2021,270
W06000015,Cardiff,ltla,16/09/2021,216
W06000015,Cardiff,ltla,15/09/2021,249
W06000015,Cardiff,ltla,14/09/2021,269
W06000015,Cardiff,ltla,13/09/2021,251
W06000015,Cardiff,ltla,12/09/2021,168
W06000015,Cardiff,ltla,11/09/2021,199
W06000015,Cardiff,ltla,10/09/2021,191
W06000015,Cardiff,ltla,09/09/2021,191
W06000015,Cardiff,ltla,08/09/2021,211
W06000015,Cardiff,ltla,07/09/2021,180
W06000015,Cardiff,ltla,06/09/2021,228
W06000015,Cardiff,ltla,05/09/2021,199
W06000015,Cardiff,ltla,04/09/2021,195
W06000015,Cardiff,ltla,03/09/2021,261
W06000015,Cardiff,ltla,02/09/2021,249
W06000015,Cardiff,ltla,01/09/2021,299
W06000015,Cardiff,ltla,31/08/2021,291
W06000015,Cardiff,ltla,30/08/2021,137
W06000015,Cardiff,ltla,29/08/2021,155
W06000015,Cardiff,ltla,28/08/2021,122
W06000015,Cardiff,ltla,27/08/2021,181
W06000015,Cardiff,ltla,26/08/2021,171
W06000015,Cardiff,ltla,25/08/2021,191
W06000015,Cardiff,ltla,24/08/2021,192
W06000015,Cardiff,ltla,23/08/2021,172
W06000015,Cardiff,ltla,22/08/2021,134
W06000015,Cardiff,ltla,21/08/2021,122
W06000015,Cardiff,ltla,20/08/2021,132
W06000015,Cardiff,ltla,19/08/2021,168
W06000015,Cardiff,ltla,18/08/2021,125
