Time Period,Category,Total GVA at basic prices,"Agriculture, forestry and fishing (A)",Total production industries (B - E),Mining and Quarrying (B),Manufacturing (C),"Electricity, gas, steam and air (D)","Water supply, sewerage etc (E)",Construction (F) [note 6] ,Total service industries (G-T),Wholesale and retail: repair of motor vehciles and motorcycles (G),Transport and storage (H),Accommodation and food service activites (I),Informations and Communication (J),Financial and insurance activities (K),Real estate activites (L),"Professional, scientific and technical activities (M)",Administrative and support service activities (N),Public administration and defense (O),Education (P),Human health and social work activities (Q),"Arts, entertainment and recreation (R)",Other service activities (S),"Activities of households as employers, undifferentiated goods and services (T)"
2020 Jan,"Percentage change, latest 3 months on previous 3 months",-0.1,-2.9,-0.6,-7.4,-0.3,2.3,-0.4,-0.3,0,-0.6,-0.1,1.9,-1.9,-1.7,0.1,-0.3,0.7,0.6,2,0.8,2.2,0.1,5.8
2020 Feb,"Percentage change, latest 3 months on previous 3 months",0,-6.5,-0.9,-6.7,-0.1,-2.2,0.1,-0.2,0.2,0,-1.1,2.4,-1.3,-1.1,0.3,0,0.4,0.5,0.8,2,1.9,-1,2.8
2020 Mar,"Percentage change, latest 3 months on previous 3 months",-2.5,-7.7,-2.4,-4.6,-2.2,-4.4,0.6,-1.8,-2.6,-3.1,-6,-9.3,-1.1,-1,0.2,-0.3,-4,0.4,-11.1,0.5,-5.9,-7.5,-8.8
2020 Apr,"Percentage change, latest 3 months on previous 3 months",-11,-12.1,-10.3,-6.3,-12.2,-6.9,-2.4,-17.1,-10.6,-15.4,-18.3,-40.3,-3.2,-2.5,-0.6,-5.9,-16.3,0.5,-28.2,-8,-22.8,-23.6,-28.6
2020 May,"Percentage change, latest 3 months on previous 3 months",-18.7,-15.2,-16.9,-7.4,-20.6,-8.3,-4.6,-29.9,-18.1,-24.8,-27.7,-70.6,-7.4,-4.3,-1.6,-12.2,-27.5,0.6,-43.7,-16.6,-39.1,-38.5,-45.8
2020 Jun,"Percentage change, latest 3 months on previous 3 months",-19.3,-16,-17.4,-3.2,-21.6,-8.8,-5.4,-35.6,-18.3,-20.2,-26.7,-83.8,-9.3,-5.1,-2.4,-15.4,-28.8,0.7,-40.2,-19.5,-43,-43.3,-49.3
2020 Jul,"Percentage change, latest 3 months on previous 3 months",-5.7,-8.2,-2.8,2.8,-3.8,-1.9,-0.5,-11.3,-5.7,6.2,-8,-47,-4.1,-2.4,-1.6,-7.4,-13,0.7,-14.4,-9.2,-24.6,-15.3,-28.3
2020 Aug,"Percentage change, latest 3 months on previous 3 months",9.7,0,11.3,5.7,14,5.7,3.9,18.7,8.9,30.8,11.9,92.9,2.4,0.2,-0.5,2.5,7.7,0.6,31.8,3.8,6.3,20,17.6
2020 Sep,"Percentage change, latest 3 months on previous 3 months",17.7,6.3,17.1,0.3,22.1,9.9,4.7,41.2,16.5,30.4,20.1,413.1,5.9,2.4,0.7,9.8,17.1,0.5,64,15.3,29.4,52.8,61.8
2020 Oct,"Percentage change, latest 3 months on previous 3 months",12,6.1,9.8,-4.1,13.1,5.2,2.5,24.1,11.6,12.4,12.3,140.4,4.1,2.4,0.8,8.3,11.3,0.5,52.6,14.9,20.3,21.2,48.9
2020 Nov,"Percentage change, latest 3 months on previous 3 months",5.5,4.5,4.6,-6.5,6.9,0.5,0.7,12.1,5.1,1.2,6.7,4.9,2.1,2.6,0.6,6.1,4.5,0.4,29.9,11.5,5.8,0,16.5
2020 Dec,"Percentage change, latest 3 months on previous 3 months",1.4,1.8,2.5,-4,3.9,-1.4,0.9,5,0.9,-1.7,4.8,-32,1.3,2.1,0.3,4.7,3,0.3,8.2,5.9,-2.3,-10.7,-1.6
2021 Jan,"Percentage change, latest 3 months on previous 3 months",-1.4,-0.8,1.2,-3.9,1.8,0.8,1.3,1.8,-2.1,-5.8,2.6,-44.1,0.2,1.7,0.5,2.7,1,0.2,-8.1,3.6,-6.5,-16,-2.9
2021 Feb,"Percentage change, latest 3 months on previous 3 months",-1.7,-2.5,0,-3.5,-0.4,3.1,2.1,0.1,-2.1,-5.6,0.6,-27.2,-0.4,1.7,0.6,1.7,1.2,0.3,-17.1,3,-0.8,-10.6,5
2021 Mar,"Percentage change, latest 3 months on previous 3 months",-1.4,-2.6,-0.4,-5.2,-1,3.4,2.9,2.2,-1.8,-5.7,-1.7,-18.7,0.1,2.1,0.5,1,0.9,0.4,-16.2,4.2,2.6,-15.9,6.5
2021 Apr,"Percentage change, latest 3 months on previous 3 months",1.8,-1.1,0.2,-9.1,0.4,2.2,3.1,5.7,1.8,3.7,-0.4,11.7,0.8,1.5,-0.1,2.1,2.4,0.5,-0.3,4.1,8.9,0.2,8.4
2021 May,"Percentage change, latest 3 months on previous 3 months",4,1,1.1,-11,1.7,2.9,2.2,6.7,4.3,8.8,0.6,38.7,1.9,-0.4,-0.4,1.9,3,0.5,16,5.3,10.3,9.6,7.9
2021 Jun,"Percentage change, latest 3 months on previous 3 months",5.5,3.1,1,-15.9,1.8,4.4,0.8,3.8,6.5,13.1,2.6,87.6,1.2,-1.9,-0.5,1.7,3.7,0.4,20.6,8.6,13.8,28.8,13
2021 Jul,"Percentage change, latest 3 months on previous 3 months",4.2,3.5,0.7,-7.2,0.7,4.3,0.8,0.1,5.1,6.5,2.2,86.6,0.9,-2.1,-0.3,1.1,3.5,0.3,9.7,10.3,16.3,18.9,7.3
2021 Aug,"Percentage change, latest 3 months on previous 3 months",2.7,2.6,0.4,5.4,0,-0.2,1.3,-1.6,3.5,1.6,2.9,58.9,0.1,-0.8,-0.1,1,3.4,0.3,2.5,8,18.6,10.4,2.5
2021 Sep,"Percentage change, latest 3 months on previous 3 months",1.3,0.7,0.8,26.3,-0.3,-4,1.5,-1.5,1.6,-2.5,2.6,30,0.1,0.3,-0.1,0.4,3.3,0.2,0.4,2.4,19.6,2.8,-0.6
