economy,Country,NY.GDP.MKTP.PP.KD,SP.POP.TOTL
ZWE,Zimbabwe,53163564720.8695,14645473.0
ZMB,Zambia,61985566659.9559,17861034.0
PSE,West Bank and Gaza,29261838253.3247,4685306.0
VNM,Vietnam,775669017734.007,96462108.0
VUT,Vanuatu,940802120.674403,299882.0
UZB,Uzbekistan,246753344171.03,33580350.0
URY,Uruguay,79733129453.3458,3461731.0
USA,United States,20563591679246.6,328329953.0
GBR,United Kingdom,3165942197251.0,66836327.0
ARE,United Arab Emirates,666972016655.959,9770526.0
UKR,Ukraine,538164207984.602,44386203.0
UGA,Uganda,96636070871.0338,44269587.0
TUV,Tuvalu,49822364.6942046,11655.0
TCA,Turks and Caicos Islands,1117215705.83541,38194.0
TKM,Turkmenistan,92330752073.9993,5942094.0
TUR,Turkey,2352485388488.15,83429607.0
TUN,Tunisia,133520112571.007,11694721.0
TTO,Trinidad and Tobago,36029099008.711,1394969.0
TON,Tonga,666495277.773404,104497.0
TGO,Togo,17149956903.1462,8082359.0
TLS,Timor-Leste,4689723599.69386,1293120.0
THA,Thailand,1284833557809.87,69625581.0
TZA,Tanzania,149797699556.637,58005461.0
TJK,Tajikistan,33382418049.1539,9321023.0
CHE,Switzerland,608367706939.274,8575280.0
SWE,Sweden,543245028479.227,10278887.0
SUR,Suriname,11067259205.6964,581363.0
SDN,Sudan,178683879115.436,42813237.0
VCT,St. Vincent and the Grenadines,1381214841.96875,110593.0
LCA,St. Lucia,2778643406.5175,182795.0
KNA,St. Kitts and Nevis,1511209680.60039,52834.0
LKA,Sri Lanka,284967949435.578,21803000.0
ESP,Spain,1923218608937.71,47133521.0
ZAF,South Africa,802831871531.356,58558267.0
SOM,Somalia,14524068877.5684,15442906.0
SLB,Solomon Islands,1782380081.2958,669821.0
SVN,Slovenia,81335673551.6626,2088385.0
SVK,Slovak Republic,174137790105.78,5454147.0
SGP,Singapore,561297248687.528,5703569.0
SLE,Sierra Leone,13323013789.1191,7813207.0
SYC,Seychelles,2695535485.90447,97625.0
SRB,Serbia,127144872890.1,6945235.0
SEN,Senegal,54779594231.0036,16296362.0
SAU,Saudi Arabia,1609323719956.12,34268529.0
STP,Sao Tome and Principe,861340705.428923,215048.0
SMR,San Marino,2060526423.35765,33864.0
WSM,Samoa,1307039387.32354,197093.0
RWA,Rwanda,28126719463.6698,12626938.0
RUS,Russian Federation,3993546395726.8,144406261.0
ROU,Romania,578729592303.801,19371648.0
QAT,Qatar,254791373231.563,2832071.0
PRI,Puerto Rico,111156339095.507,3193694.0
PRT,Portugal,359460265041.436,10286263.0
POL,Poland,1259890291288.39,37965475.0
PHL,Philippines,963829823127.98,108116622.0
PER,Peru,417879467756.579,32510462.0
PRY,Paraguay,88871845102.8092,7044639.0
PNG,Papua New Guinea,37677016418.4784,8776119.0
PAN,Panama,133509192637.308,4246440.0
PLW,Palau,310141895.520587,18001.0
PAK,Pakistan,1017364645794.16,216565317.0
OMN,Oman,136229068140.455,4974992.0
NOR,Norway,344686938783.332,5347896.0
MKD,North Macedonia,34832511672.8745,2076694.0
NGA,Nigeria,1032048476445.27,200963603.0
NER,Niger,28541064717.3782,23310719.0
NIC,Nicaragua,35683892140.8096,6545503.0
NZL,New Zealand,213502141135.292,4979300.0
NLD,Netherlands,984911971364.286,17344874.0
NPL,Nepal,113083394292.108,28608715.0
NRU,Nauru,145609062.133635,10764.0
NAM,Namibia,24477786254.1529,2494524.0
MMR,Myanmar,256159650802.764,54045422.0
MOZ,Mozambique,38922587009.6066,30366043.0
MAR,Morocco,279639140385.546,36471766.0
MNE,Montenegro,13394721064.7264,622028.0
MNG,Mongolia,40269672499.9901,3225166.0
MDA,Moldova,34715326508.9704,2664974.0
FSM,"Micronesia, Fed. Sts.",394416594.798097,113811.0
MEX,Mexico,2510338810804.89,127575529.0
MUS,Mauritius,28946502128.0602,1265711.0
MRT,Mauritania,24185320705.1866,4525698.0
MHL,Marshall Islands,238020024.058307,58791.0
MLT,Malta,22153821315.0628,504062.0
MLI,Mali,45640075229.3188,19658023.0
MDV,Maldives,10359232216.5971,530957.0
MYS,Malaysia,908059753578.497,31949789.0
MWI,Malawi,28635017162.8855,18628749.0
MDG,Madagascar,43653003423.1667,26969306.0
MAC,"Macao SAR, China",81511194603.6944,640446.0
LUX,Luxembourg,72241448143.8705,620001.0
LTU,Lithuania,103847482738.302,2794137.0
LBY,Libya,102842173262.421,6777453.0
LBR,Liberia,7256774357.91125,4937374.0
LSO,Lesotho,5491529196.49182,2125267.0
LBN,Lebanon,99844372328.3009,6855709.0
LVA,Latvia,59351706426.0947,1913822.0
LAO,Lao PDR,56543010338.6593,7169456.0
KGZ,Kyrgyz Republic,33949067064.7258,6456200.0
KWT,Kuwait,209738507531.558,4207077.0
XKX,Kosovo,20247348113.4066,1788878.0
KOR,"Korea, Rep.",2213390819401.97,51709098.0
KIR,Kiribati,275248585.09089,117608.0
KEN,Kenya,234099934843.54,52573967.0
KAZ,Kazakhstan,487868690396.88,18513673.0
JOR,Jordan,101738028003.642,10101697.0
JPN,Japan,5305966751733.76,126264931.0
JAM,Jamaica,28825320993.5128,2948277.0
ITA,Italy,2550911649193.86,59729081.0
ISR,Israel,367829753077.531,9054000.0
IRL,Ireland,427560583989.743,4934340.0
IRQ,Iraq,429875294742.99,39309789.0
IRN,"Iran, Islamic Rep.",1027238739231.39,82913893.0
IDN,Indonesia,3196622583021.45,270625567.0
IND,India,9174036185837.28,1366417756.0
ISL,Iceland,20528933021.7951,360563.0
HUN,Hungary,318086738766.933,9771141.0
HKG,"Hong Kong SAR, China",447337467958.467,7507400.0
HND,Honduras,55905485859.0894,9746115.0
HTI,Haiti,34615148897.6183,11263079.0
GUY,Guyana,10240404610.916,782775.0
GNB,Guinea-Bissau,3725214186.97916,1920917.0
GIN,Guinea,32784222537.8752,12771246.0
GTM,Guatemala,143679754257.155,16604026.0
GRD,Grenada,1889201813.94581,112002.0
GRC,Greece,318409868980.403,10721582.0
GHA,Ghana,168516321194.958,30417858.0
DEU,Germany,4481173467804.77,83092962.0
GEO,Georgia,55762453626.5218,3720161.0
GMB,"Gambia, The",5223411935.63437,2347696.0
GAB,Gabon,32471045092.2846,2172578.0
FRA,France,3094645337796.63,67248926.0
FIN,Finland,268579883361.113,5521606.0
FJI,Fiji,12178403816.53,889955.0
ETH,Ethiopia,248972206952.337,112078727.0
SWZ,Eswatini,9934706117.34806,1148133.0
EST,Estonia,48298993283.3426,1326898.0
GNQ,Equatorial Guinea,25089143689.0855,1355982.0
SLV,El Salvador,56637126101.4415,6453550.0
EGY,"Egypt, Arab Rep.",1180890364777.32,100388076.0
ECU,Ecuador,197548961601.146,17373657.0
